id,"partid","cond_order","cond_soepframe","soep_item",aspect_ind,"aspect",r_risk,"r_frequency","r_social","r_situation","r_control","r_active"
1,"p7loem1g49","asp_judg","std","gen",0,"normally the benefits don't out weigh the risks.",-22,"less_reg","0","1","controllable","active"
2,"p7loem1g49","asp_judg","std","gen",1,"I like to be in control",-24,"day","0","1","controllable","active"
3,"p7loem1g49","asp_judg","std","gen",2,"I don't like to lose.",-45,"week","0","1","controllable","active"
4,"p7loem1g49","asp_judg","std","gen",3,"I want to keep what I have gained.",-45,"day","0","1","controllable","active"
5,"p3jalp38g1","asp_judg","std","gen",0,"I would rather regret something I did do than regret that I didn't try something.",50,"less_reg","0","1","controllable","active"
6,"p3jalp38g1","asp_judg","std","gen",1,"Usually when I take calculated risks that are well thought-out, I have fair to good results.",50,"less_reg","0","1","controllable","active"
7,"p3jalp38g1","asp_judg","std","gen",2,"Life gets boring if I don't take any risks.",50,"less_reg","0","1","NA","NA"
8,"p3jalp38g1","asp_judg","std","gen",3,"If I want to get ahead, some risks are pretty much inevitable.",50,"less_reg","0","1","controllable","active"
9,"pg3evmk92s","asp_judg","std","gen",0,"Taking risks can lead to financial distress",-29,"month","0","0","controllable","active"
10,"pg3evmk92s","asp_judg","std","gen",1,"Taking risks might endanger your physical or mental health",-33,"less_reg","0","0","uncontrollable","active"
11,"pg3evmk92s","asp_judg","std","gen",2,"Taking risks at work might cause you to lose your job or annoy your coworkers or boss",-24,"year","0","0","uncontrollable","active"
12,"p3lera2r97","asp_judg","std","gen",0,"I don't like losing",-50,"day","0","0","uncontrollable","passive"
13,"p3lera2r97","asp_judg","std","gen",1,"I want to be safe",-50,"day","0","0","controllable","active"
14,"p3lera2r97","asp_judg","std","gen",2,"I don't like being stressed",-50,"day","0","0","controllable","active"
15,"p3lera2r97","asp_judg","std","gen",3,"I like sleeping well at night",-50,"day","0","0","controllable","active"
16,"p3lera2r97","asp_judg","std","gen",4,"I like knowing where I'm going",-50,"day","0","0","controllable","active"
17,"pm4s2hpf4p","asp_judg","std","gen",0,"I tend to avoid taking risks because the fear of the unknown is looming.",-50,"week","0","0","controllable","passive"
18,"pm4s2hpf4p","asp_judg","std","gen",1,"I avoid taking risks because uncertainty can breed failure.",-47,"week","0","0","controllable","active"
19,"pm4s2hpf4p","asp_judg","std","gen",2,"I avoid taking risks because I fear that I might fail.",-50,"week","0","0","controllable","active"
20,"ptfcfaaij3","asp_judg","std","gen",0,"I take risks because they lead to more exciting opportunities in life.",31,"month","0","0","controllable","active"
21,"ptfcfaaij3","asp_judg","std","gen",1,"I take risks because it makes me feel more alive and human.",41,"week","0","1","controllable","active"
22,"ptfcfaaij3","asp_judg","std","gen",2,"I take risks because it makes me more noticeable to me people around me.",45,"week","0","1","controllable","active"
23,"pjomiut9f3","asp_judg","std","gen",0,"I'm willing to take risks if there is no virtually no downside. People might think of skydiving as a risk, for instance, but these days there is almost no risk because of the technology we have. This is why I consider risky things the things I fear.",27,"week","0","1","controllable","active"
24,"pjomiut9f3","asp_judg","std","gen",1,"Yes because taking risks helps me grow as a person.",21,"week","0","1","controllable","active"
25,"pjomiut9f3","asp_judg","std","gen",2,"Yes because I know I won't live forever.",26,"day","0","0","controllable","active"
26,"pjomiut9f3","asp_judg","std","gen",3,"Yes because I know that risks help me show what I care about in life.",12,"week","0","1","controllable","active"
27,"pjomiut9f3","asp_judg","std","gen",4,"Yes because taking risks is involved in showing your love for something.",25,"week","0","0","controllable","active"
28,"pjomiut9f3","asp_judg","std","gen",5,"The answer is no when the result could be catastrophic.",-32,"week","0","1","uncontrollable","passive"
29,"pjomiut9f3","asp_judg","std","gen",6,"I would say no when I could be put in physical harm.",-21,"week","0","0","controllable","active"
30,"pjomiut9f3","asp_judg","std","gen",7,"I'm a person who takes risks because everything in life involves risk.",26,"day","0","0","controllable","passive"
31,"pjomiut9f3","asp_judg","std","gen",8,"I avoid risks when I don't have enough experience to feel safe in that situation.",-31,"week","0","0","uncontrollable","passive"
32,"pjomiut9f3","asp_judg","std","gen",9,"I take risks when I need to uphold my principles.",27,"week","0","0","controllable","active"
33,"pjomiut9f3","asp_judg","std","gen",10,"I avoid risks when I'm in over my head.",28,"week","0","1","controllable","active"
34,"pjomiut9f3","asp_judg","std","gen",11,"I take risks when I get pleasure from something.",13,"week","0","0","controllable","active"
35,"pj0s9l55ia","asp_judg","std","gen",0,"Thinking about whether or not I like to try new things",-4,"month","0","0","controllable","active"
36,"pj0s9l55ia","asp_judg","std","gen",1,"Thinking about whether I am adventurous",-11,"less_once","0","0","controllable","active"
37,"pj0s9l55ia","asp_judg","std","gen",2,"Thinking about whether I want things to stay the same",-14,"month","0","0","controllable","active"
38,"pogc712epf","asp_judg","std","gen",0,"I avoid taking risks since I am married.",-50,"day","0","1","controllable","active"
